,filename,link,id
1646,Matthew_Putorti.csv,https://www.twitter.com/MattPutorti,MattPutorti
1647,Perry_Thurston.csv,https://www.twitter.com/thurstonforfl,thurstonforfl
1648,Garret_Swazey.csv,https://www.twitter.com/SwazeyforMaine,SwazeyforMaine
1649,Holly_Lynch.csv,https://www.twitter.com/hollylynchny,hollylynchny
1650,Casey_Chlebek.csv,https://www.twitter.com/CaseySenate,CaseySenate
1651,Keith_Pekau.csv,https://www.twitter.com/KeithPekau,KeithPekau
1652,Jake_Bequette.csv,https://www.twitter.com/JakeBequette91,JakeBequette91
1653,Ron_Hanks.csv,https://www.twitter.com/HanksUSSenate,HanksUSSenate
1654,Randy_Purham.csv,https://www.twitter.com/rpurham,rpurham
1655,Raphael_Warnock.csv,https://www.twitter.com/ReverendWarnock,ReverendWarnock
1656,Gary_Adkins.csv,https://www.twitter.com/GaryAdkins4VA,GaryAdkins4VA
1657,Steve_Pemberton.csv,https://www.twitter.com/pembertonforma,pembertonforma
1658,Kyle_Sinclair.csv,https://www.twitter.com/kylefor20,kylefor20
1659,Chaz_Tedesco.csv,https://www.twitter.com/chazforcongress,chazforcongress
1660,David_Clifford.csv,https://twitter.com/DavidClifford47,DavidClifford47
1661,Frederica_Wilson.csv,https://www.twitter.com/FSWInTheHouse,FSWInTheHouse
1662,Hank_Gilbert.csv,https://www.twitter.com/Hank4Texas,Hank4Texas
1663,Gerardo_Serrano.csv,https://www.twitter.com/AssetForfeiture,AssetForfeiture
1664,Philip_Dodds.csv,https://www.twitter.com/PhilDoddsfl03,PhilDoddsfl03
1665,Sakinah_Lehtola.csv,https://twitter.com/sakinahlehtola,sakinahlehtola
1666,Gabriella_Manolache.csv,https://www.twitter.com/GabiforCongress,GabiforCongress
1667,Karoline_Leavitt.csv,https://www.twitter.com/kleavittnh,kleavittnh
1668,Cynthia_Lummis.csv,https://www.twitter.com/CynthiaMLummis,CynthiaMLummis
1669,Alan_Sims.csv,https://www.twitter.com/alansimsga,alansimsga
1670,Kellie_Weeks.csv,https://www.twitter.com/for_kellie,for_kellie
1671,James_Berryhill.csv,https://www.twitter.com/JBerryhillTX11,JBerryhillTX11
1672,Robert_Margus.csv,https://www.twitter.com/Mxbrvrgvs,Mxbrvrgvs
1673,Roberto_Hess.csv,https://www.twitter.com/bohessforus,bohessforus
