,state,name,latitude,longitude,capital,latitude_c,longitude_c,total_r,total_s,,,,,,,,,,,,,,,,=MAX(A1:Y1)
33,NV,Nevada,38.80261,-116.419389,Carson City,39.163914,-119.766121,106682701.26,104120107.77999999,,,,,,,,,,,,,,,,
34,NY,New York,43.299428,-74.217933,Albany,42.652843,-73.757874,184689974.32999998,188356824.48,,,,,,,,,,,,,,,,
35,OH,Ohio,40.417287,-82.907123,Columbus,39.961346,-82.999069,185927234.76,189501271.73,,,,,,,,,,,,,,,,
36,OK,Oklahoma,35.007752,-97.092877,Oklahoma City,35.492207,-97.503342,30936546.54,29897105.49,,,,,,,,,,,,,,,,
37,OR,Oregon,43.804133,-120.554201,Salem,44.938461,-123.030403,39853598.37,40124953.23,,,,,,,,,,,,,,,,
38,PA,Pennsylvania,41.203322,-77.194525,Harrisburg,40.264378,-76.883598,198345118.94,194698919.35,,,,,,,,,,,,,,,,
39,PR,Puerto Rico,18.220833,-66.590149,,,,721700.65,478392.17,,,,,,,,,,,,,,,,
40,RI,Rhode Island,41.580095,-71.477429,Providence,41.830914,-71.414963,10824129.99,9891786.46,,,,,,,,,,,,,,,,
41,SC,South Carolina,33.836081,-81.163725,Columbia,34.000343,-81.033211,74792474.1,58649672.53,,,,,,,,,,,,,,,,
42,SD,South Dakota,43.969515,-99.901813,Pierre,44.367031,-100.346405,11333096.01,6788629.21,,,,,,,,,,,,,,,,
43,TN,Tennessee,35.517491,-86.580447,Nashville,36.16581,-86.784241,29061698.3,23769078.55,,,,,,,,,,,,,,,,
44,TX,Texas,31.968599,-99.901813,Austin,30.27467,-97.740349,151907435.92000002,148877091.79,,,,,,,,,,,,,,,,
45,UT,Utah,39.32098,-111.093731,Salt Lake City,40.777477,-111.888237,27341605.9,26283364.39,,,,,,,,,,,,,,,,
46,VA,Virginia,37.431573,-78.656894,Richmond,37.538857,-77.43364,275142299.57,264589817.57999998,,,,,,,,,,,,,,,,
47,VT,Vermont,44.558803,-72.577841,Montpelier,44.262436,-72.580536,29446632.77,28796918.490000002,,,,,,,,,,,,,,,,
48,WA,Washington,47.751074,-120.740139,Olympia,47.035805,-122.905014,69285460.17,76486124.04,,,,,,,,,,,,,,,,
49,WI,Wisconsin,43.78444,-88.787868,Madison,43.074684,-89.384445,125292402.36,120680760.92,,,,,,,,,,,,,,,,
50,WV,West Virginia,38.597626,-80.454903,Charleston,38.336246,-81.612328,16494707.200000001,10916937.459999999,,,,,,,,,,,,,,,,
51,WY,Wyoming,43.075968,-107.290284,Cheyenne,41.140259,-104.820236,9559200.45,10124117.55,,,,,,,,,,,,,,,,
52,GU,Guam,13.4443,144.7937,,,,247934.61,236744.78,,,,,,,,,,,,,,,,
53,AS,American Samoa,14.271,170.1322,,,,57300.0,57524.13,,,,,,,,,,,,,,,,
55,MP,Northern Mariana Islands,,r,,,,27509.24,65712.26,,,,,,,,,,,,,,,,
56,VI,The United States Virgin Islands,,,,,,973302.12,988750.66,,,,,,,,,,,,,,,,
